identifier	accession	name	accession_group	origin	description	assFile
Wm82	PI 518671	Williams 82	Reference - Williams 82	Northern United States	Williams 82 was derived from backcrossing a phytophthora root rot resistance locus from the donor parent Kingwa into the recurrent parent Williams. A sub-line, Wm82-ISU-01, was derived by Robert Stupar (University of Minnesota) by inbreeding original W82 seed. That sub-line, registered as PI 704477, was used for assembly Wm82.gnm6 / Wm82.a6.	assemblies/glyma.Wm82.gnm6.S97D.genome_main.fna.gz
Lee	PI 548656	Reference - Lee	Lee	Southern United States	Cultivar Lee, which derives from a cross of Chinese lines CNS and S-100, has been widely used as a parent in many breeding projects in the Southern U.S. and in Brazil (Wysmierski and Vello, 2013; http://doi.org/10.1590/S1415-47572013005000041). The variety is notable for resistance to Phytophthora rot, Peanut Mottle Virus, and bacterial pustule (Wysmierski and Vello, 2013).	assemblies/glyma.Lee.gnm3.VG1C.genome_main.fna.gz
FiskebyIII	PI 438471	Reference - Fiskeby III	Fiskeby III	Fiskeby, Norrköpping, Sweden	Bred by the late Dr. Sven Holmberg in Fiskeby, Norrköpping, Sweden. Highly nutritious — up to 40% protein, high in calcium, iron, and vitamins (particularly A, B1, B12, and C). Thrives in northern climates. 75-80 days.	assemblies/glyma.FiskebyIII.gnm1.F177.genome_main.fna.gz
Zh13	GWHAAEV00000000.1	Reference - Zhonghuang 13	Zhonghuang 13	China	Zhonghuang 13 is a Chinese cultivar derived from accessions Yudou 18 and Zhongzuo 90052-76 by pedigree selection for high yield and stress tolerance (Shen et al., 2018; https://doi.org/10.1007/s11427-018-9360-0).	assemblies/glyma.Zh13.gnm2.LV9P.genome_main.fna.gz
Hwangkeum	Hwangkeum	Reference - Hwangkeum	Hwangkeum	South Korea	Hwangkeum is an important South Korean cultivar, released in 1979 and widely used since then as a breeding parent in Korea. Hwangkeum has a determinate growth habit and nonshattering pods and is adapted to the middle Korean peninsula (Maturity Group V).	assemblies/glyma.Hwangkeum.gnm1.4S83.genome_main.fna.gz
JD17	GCA_021733175.1	Reference - Jidou 17	Jidou 17	China	Jidou 17 is an Chinese elite cultivar, widely grown in central China (in maturity group III). This variety is recognized for high yields and tolerance for high planting densities.	assemblies/glyma.JD17.gnm1.TW7L.genome_main.fna.gz
Hefeng25_IGA1002	IGA1002	Chu, Peng et al., 2021	Hefeng 25	Jiamusi Branch of Heilongjiang Academy of Agricultural Sciences	Glycine max Hefeng 25 (IGA1002) was sequenced and annotated by Chu, et al. (2021).	assemblies/glyma.Hefeng25_IGA1002.gnm1.L69T.genome_main.fna.gz
Huaxia3_IGA1007	IGA1007	Chu, Peng et al., 2021	Huaxia 3	South China Agricultural University	Glycine max Huaxia 3 (IGA1007) was sequenced and annotated by Chu, et al. (2021).	assemblies/glyma.Huaxia3_IGA1007.gnm1.RGGN.genome_main.fna.gz
Jinyuan_IGA1006	IGA1006	Chu, Peng et al., 2021	Jinyuan	National Soybean Preservation Center, ICS, CAAS	Glycine max Jinyuan (IGA1006) was sequenced and annotated by Chu, et al. (2021).	assemblies/glyma.Jinyuan_IGA1006.gnm1.LXM0.genome_main.fna.gz
Wenfeng7_IGA1001	IGA1001	Chu, Peng et al., 2021	Wenfeng 7	National Soybean Preservation Center, ICS, CAAS	Glycine max Wenfeng 7 (IGA1001) was sequenced and annotated by Chu, et al. (2021).	assemblies/glyma.Wenfeng7_IGA1001.gnm1.L0QH.genome_main.fna.gz
Wm82_IGA1008	IGA1008	Chu, Peng et al., 2021	Williams 82	Northeast Institute of Geography and Agroecology, CAS	Williams 82, the soybean cultivar used to produce the reference genome sequence, was derived from backcrossing a phytophthora root rot resistance locus from the donor parent Kingwa into the recurrent parent Williams. This line, IGA1008, was sequenced and annotated by Chu, et al. (2021).	assemblies/glyma.Wm82_IGA1008.gnm1.5CQQ.genome_main.fna.gz
Zh13_IGA1005	IGA1005	Chu, Peng et al., 2021	Zhonghuang 13	National Soybean Improvement Sub-Center, ICS, CAAS	Zhonghuang 13 is a Chinese cultivar derived from accessions Yudou 18 and Zhongzuo 90052-76 by pedigree selection for high yield and stress tolerance (Shen et al., 2018; https://doi.org/10.1007/s11427-018-9360-0). This line, IGA1005, was sequenced and annotated by Chu, et al. (2021).	assemblies/glyma.Zh13_IGA1005.gnm1.FRXQ.genome_main.fna.gz
Zh35_IGA1004	IGA1004	Chu, Peng et al., 2021	Zhonghuang 35	National Soybean Improvement Sub-Center, ICS, CAAS	Glycine max Zhonghuang 35 (IGA1004) was sequenced and annotated by Chu, et al. (2021).	assemblies/glyma.Zh35_IGA1004.gnm1.DBYJ.genome_main.fna.gz
